leftDia,rightDia,leftFront,rightFront,pulse
568,904,118,152,1
596,927,130,149,2
577,912,126,155,3
573,917,113,161,4
567,905,123,151,5
582,918,137,140,6
584,947,138,139,7
574,938,119,156,8
562,942,134,157,9
579,939,124,146,10
551,923,134,154,11
545,930,142,150,12
566,941,135,157,13
560,957,142,152,14
567,961,125,150,15
540,967,141,154,16
532,958,148,142,17
545,985,150,156,18
538,998,143,149,19
527,983,142,150,20
550,980,140,112,21
523,993,138,158,22
535,994,153,145,23
528,996,135,149,24
504,1028,152,158,25
505,1028,139,160,26
529,1019,142,161,27
516,1011,163,149,28
516,1027,145,144,29
502,1041,152,151,30
517,1020,161,151,31
513,1024,158,161,32
521,1020,159,150,33
509,1026,161,157,34
531,1027,166,166,35
502,1036,160,155,36
497,1048,154,160,37
512,1023,156,153,38
502,1024,149,158,39
526,1035,170,150,40
513,1025,163,173,41
505,1034,155,166,42
513,1053,166,164,43
511,1036,152,159,44
522,1028,162,161,45
507,1047,167,166,46
509,1027,145,168,47
493,1031,161,171,48
496,1035,158,164,49
501,1039,171,183,50
518,1037,174,160,51
520,1050,177,164,52
492,1026,162,173,53
497,1040,180,177,54
516,1037,169,175,55
495,1041,186,167,56
495,1042,178,178,57
497,1038,172,162,58
508,1030,174,166,59
514,1041,163,172,60
499,1039,172,157,61
502,1043,172,170,62
501,1040,180,169,63
517,1055,179,176,64
493,1036,179,173,65
505,1028,170,190,66
493,1046,188,172,67
519,1066,171,173,68
508,1058,173,177,69
493,1044,175,179,70
511,1046,166,199,71
501,1044,177,182,72
501,1072,196,181,73
513,1060,190,193,74
512,1051,173,189,75
507,1048,197,174,76
525,1040,176,184,77
502,1055,172,184,78
495,1053,178,186,79
490,1048,180,192,80
496,1066,193,183,81
493,1056,188,192,82
502,1050,184,184,83
495,1048,186,195,84
506,1050,186,195,85
500,1062,198,199,86
498,1049,182,192,87
502,1048,187,207,88
501,1061,185,194,89
492,1056,194,186,90
490,1072,205,208,91
535,1052,200,191,92
507,1042,195,198,93
513,1072,202,195,94
509,1069,197,189,95
506,1067,206,201,96
491,1070,215,193,97
497,1068,205,206,98
485,1060,211,211,99
495,1075,209,195,100
486,1057,220,201,101
494,1043,195,201,102
488,1058,216,204,103
492,1060,215,219,104
495,1069,209,196,105
483,1057,212,200,106
504,1073,220,201,107
507,1076,207,223,108
492,1054,214,215,109
503,1051,220,230,110
485,1075,217,220,111
481,1055,213,200,112
499,1062,211,210,113
492,1061,220,217,114
494,1063,217,217,115
474,1091,216,214,116
476,1075,236,226,117
515,1076,231,231,118
484,1082,231,215,119
494,1060,228,224,120
482,1084,227,237,121
480,1078,216,238,122
472,1067,242,234,123
497,1070,225,236,124
502,1076,231,233,125
475,1082,240,221,126
492,1071,225,225,127
491,1091,239,228,128
498,1080,238,236,129
502,1080,237,228,130
466,1085,233,240,131
485,1082,245,231,132
473,1072,237,229,133
474,1060,259,252,134
492,1072,252,235,135
472,1067,238,247,136
475,1091,242,245,137
484,1071,243,238,138
464,1074,256,251,139
477,1087,252,241,140
471,1086,247,244,141
499,1076,244,261,142
472,1072,265,254,143
468,1097,267,251,144
500,1092,253,266,145
502,1085,273,250,146
491,1104,273,247,147
477,1090,271,262,148
481,1090,278,275,149
490,1107,258,271,150
477,1095,268,260,151
495,1081,265,244,152
497,1092,275,264,153
467,1092,274,268,154
475,1095,290,272,155
476,1094,283,269,156
473,1080,278,273,157
487,1105,275,262,158
494,1089,277,274,159
483,1108,280,271,160
476,1086,291,258,161
488,1106,283,268,162
474,1080,280,280,163
472,1117,299,294,164
496,1073,292,273,165
470,1086,296,287,166
488,1079,307,292,167
478,1110,302,284,168
465,1090,299,280,169
478,1093,295,287,170
477,1109,301,282,171
457,1095,327,286,172
471,1107,305,300,173
465,1102,314,295,174
474,1082,324,292,175
464,1103,327,295,176
490,1086,321,291,177
468,1092,312,303,178
489,1109,326,300,179
483,1089,298,295,180
461,1104,316,308,181
480,1112,316,312,182
478,1120,328,301,183
480,1087,328,311,184
470,1092,321,310,185
467,1101,326,307,186
485,1112,346,316,187
465,1105,332,322,188
499,1116,324,311,189
489,1112,342,318,190
461,1100,336,317,191
468,1121,344,328,192
473,1093,343,315,193
480,1114,344,333,194
474,1103,346,321,195
460,1121,338,338,196
496,1119,347,336,197
481,1121,362,329,198
470,1118,368,339,199
462,1098,338,326,200
480,1122,375,356,201
474,1119,362,337,202
476,1098,378,343,203
477,1114,379,337,204
479,1119,375,346,205
477,1115,386,341,206
469,1102,372,362,207
468,1120,377,353,208
457,1112,391,366,209
471,1127,386,355,210
473,1137,396,360,211
480,1108,400,364,212
481,1128,386,365,213
459,1121,406,374,214
466,1122,403,373,215
458,1124,410,378,216
474,1124,394,364,217
458,1131,416,369,218
482,1120,422,383,219
494,1133,423,372,220
474,1115,413,386,221
470,1125,417,382,222
478,1138,425,393,223
470,1121,420,389,224
481,1117,440,391,225
481,1131,445,383,226
459,1113,438,398,227
470,1118,437,392,228
480,1128,442,413,229
470,1132,449,410,230
483,1112,444,412,231
457,1138,442,402,232
461,1142,457,397,233
473,1136,466,419,234
467,1141,477,430,235
456,1124,478,406,236
460,1129,477,418,237
464,1135,466,434,238
462,1143,466,418,239
477,1146,480,439,240
472,1124,482,431,241
457,1126,487,441,242
463,1143,497,429,243
455,1158,488,438,244
452,1131,488,455,245
450,1130,497,442,246
456,1141,500,459,247
457,1158,512,457,248
455,1135,498,456,249
447,1133,505,447,250
469,1134,506,470,251
463,1139,523,459,252
451,1137,528,465,253
469,1143,523,461,254
463,1150,544,462,255
456,1160,527,476,256
